,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
0,120,10/6/19,1856,8.26,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
4,298,10/6/19,1856,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
5,378,10/6/19,2837,6.65,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
6,404,10/6/19,2830,8.06,4006,Double Time,A0845AQ1,Quality A-Shift 8hrs 8:45,Active,Non-Hispanic/Latino,,,
7,417,10/6/19,1385,8.75,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
8,422,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
9,459,10/6/19,1830,7.53,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
10,463,10/6/19,1615,11.5,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
11,481,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
13,508,10/6/19,1811,7.45,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
14,531,10/6/19,1765,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
15,533,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
16,534,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
17,578,10/6/19,2942,7.46,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
18,600,10/6/19,1721,6.07,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
19,608,10/6/19,1830,7.8,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
20,624,10/6/19,1750,11.35,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
21,643,10/6/19,1765,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
22,701,10/6/19,1831,8.03,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
23,714,10/6/19,2838,6,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
24,729,10/6/19,1720,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
25,732,10/6/19,1750,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
26,736,10/6/19,1749,11.52,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
27,752,10/6/19,2833,6.36,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
28,762,10/6/19,1725,5.75,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
29,769,10/6/19,2838,8.01,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
30,770,10/6/19,2838,8.01,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
31,791,10/6/19,2838,8.05,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
32,844,10/6/19,2809,7.48,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
33,854,10/6/19,2950,6.41,4007,DTime: Premium,APUB,A-Shift UBS,Active,Non-Hispanic/Latino,,,
35,952,10/6/19,2649,11.36,4006,Double Time,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
36,973,10/6/19,1831,7.66,4006,Double Time,AAEL,A-Shift Asm ESA Ln 1,Active,Non-Hispanic/Latino,,,
38,981,10/6/19,2723,11.33,4006,Double Time,A0700AA1,A-Shift 07:00 Start 10 hr,Active,Non-Hispanic/Latino,,,
41,1109,10/6/19,1831,8.2,4006,Double Time,AXA1,A-Shift X5 Asm Team 1,Active,Non-Hispanic/Latino,,,
42,1147,10/6/19,2666,10.5,4006,Double Time,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
43,1148,10/6/19,1830,8.51,4007,DTime: Premium,APUB,A-Shift UBS,Active,Non-Hispanic/Latino,,,
44,1157,10/6/19,1730,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
45,1170,10/6/19,1720,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
46,1187,10/6/19,1745,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
47,1196,10/6/19,2779,11.57,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
48,1216,10/6/19,2820,8.25,4006,Double Time,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
49,1219,10/6/19,2828,7.55,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
50,1236,10/6/19,1835,7.33,4006,Double Time,A0630AD3,A-Shift 06:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
52,1253,10/6/19,1746,11.52,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
53,1254,10/6/19,1640,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
54,1260,10/6/19,2825,7.48,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
55,1269,10/6/19,2941,6.16,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
56,1282,10/6/19,2731,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
57,1287,10/6/19,2723,5.12,4007,DTime: Premium,AXB3,A-Shift X5 Body Team 3,Active,Non-Hispanic/Latino,,,
58,1288,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
60,1316,10/6/19,2828,7.53,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
61,1321,10/6/19,1645,11.45,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
62,1332,10/6/19,1765,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
64,1355,10/6/19,1715,11.4,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
65,1360,10/6/19,2838,8.03,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
66,1361,10/6/19,1830,7.8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
67,1391,10/6/19,1746,11.52,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
68,1395,10/6/19,1830,8.91,4007,DTime: Premium,A0530AA1,A-Shift ESA cover Shifts,Active,Non-Hispanic/Latino,,,
69,1401,10/6/19,2838,8.01,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
70,1412,10/6/19,1811,7.43,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
72,1440,10/6/19,1830,7.58,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
73,1459,10/6/19,1630,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
74,1488,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
75,1508,10/6/19,2941,6.36,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
76,1538,10/6/19,1790,11.5,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
77,1588,10/6/19,2838,8.01,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
80,1635,10/6/19,2721,11.5,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
81,1644,10/6/19,1645,11.48,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
82,1656,10/6/19,1765,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
